tourney_id,tourney_name,tourney_date,tourney_level,surface,match_num,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,score,best_of,round
2026-0807,Acapulco,20260223,A,Hard,270,206909,,Brandon Nakashima,R,188.0,24,111200,,Elias Ymer,R,185.0,29,6-3 6-4,3,R32
2026-0807,Acapulco,20260223,A,Hard,271,206499,,Aleksandar Kovacevic,R,183.0,27,200443,,Adam Walton,R,183.0,26,7-6(1) 7-6(3),3,R32
2026-0807,Acapulco,20260223,A,Hard,272,200175,,Miomir Kecmanovic,R,183.0,26,209262,,Tristan Schoolkate,R,183.0,24,6-2 6-2,3,R32
2026-0807,Acapulco,20260223,A,Hard,273,212588,,Rafael Jodar,U,,19,111815,7,Cameron Norrie,L,188.0,30,6-3 6-2,3,R32
2026-0807,Acapulco,20260223,A,Hard,274,200473,6,Valentin Vacherot,R,193.0,27,209409,,Coleman Wong,R,191.0,21,4-6 6-3 6-2,3,R32
2026-0807,Acapulco,20260223,A,Hard,275,200221,4,Alejandro Davidovich Fokina,R,183.0,26,127157,,Daniel Altmaier,R,188.0,27,7-5 6-3,3,R32
2026-0807,Acapulco,20260223,A,Hard,276,200516,,Patrick Kypson,R,188.0,26,200282,2,Alex De Minaur,R,183.0,26,6-1 6(4)-7 7-6(4),3,R32
2026-0807,Acapulco,20260223,A,Hard,277,207494,,Dalibor Svrcina,R,178.0,23,105902,,James Duckworth,R,183.0,33,6-4 6-1,3,R32
2026-0807,Acapulco,20260223,A,Hard,278,200647,,Sho Shimabukuro,R,180.0,28,105173,,Adrian Mannarino,L,180.0,37,6-3 6-4,3,R32
2026-0807,Acapulco,20260223,A,Hard,279,104792,,Gael Monfils,R,193.0,39,106000,,Damir Dzumhur,R,175.0,33,6-4 7-6(5),3,R32
2026-0807,Acapulco,20260223,A,Hard,280,208233,,Mattia Bellucci,L,175.0,24,208014,,Rinky Hijikata,R,178.0,24,7-6(5) 6-3,3,R32
2026-0807,Acapulco,20260223,A,Hard,281,209279,,Terence Atmane,L,193.0,23,105777,,Grigor Dimitrov,R,191.0,34,6-3 6-3,3,R32
2026-0807,Acapulco,20260223,A,Hard,282,126207,8,Frances Tiafoe,R,188.0,27,132686,,Nuno Borges,R,185.0,28,6-4 6-4,3,R32
2026-0807,Acapulco,20260223,A,Hard,283,207925,5,Flavio Cobolli,R,183.0,23,210202,,Rodrigo Pacheco Mendez,L,188.0,20,7-6(3) 7-6(3),3,R32
2026-0807,Acapulco,20260223,A,Hard,284,200059,,Yibing Wu,R,183.0,26,134770,3,Casper Ruud,R,183.0,27,7-6(2) 7-6(1),3,R32
2026-0807,Acapulco,20260223,A,Hard,285,100644,1,Alexander Zverev,R,198.0,28,144895,,Corentin Moutet,L,180.0,26,6-2 6-4,3,R32
2026-0807,Acapulco,20260223,A,Hard,286,200059,,Yibing Wu,R,183.0,26,200647,,Sho Shimabukuro,R,180.0,28,6-3 7-6(4),3,R16
2026-0807,Acapulco,20260223,A,Hard,287,206909,,Brandon Nakashima,R,188.0,24,200516,,Patrick Kypson,R,188.0,26,6-4 6-4,3,R16
2026-0807,Acapulco,20260223,A,Hard,288,209279,,Terence Atmane,L,193.0,23,212588,,Rafael Jodar,U,,19,6-2 4-6 6-1,3,R16
2026-0807,Acapulco,20260223,A,Hard,289,126207,8,Frances Tiafoe,R,188.0,27,206499,,Aleksandar Kovacevic,R,183.0,27,6-4 3-6 7-6(7),3,R16
2026-0807,Acapulco,20260223,A,Hard,290,200473,6,Valentin Vacherot,R,193.0,27,104792,,Gael Monfils,R,193.0,39,6-3 6-3,3,R16
2026-0807,Acapulco,20260223,A,Hard,291,207925,5,Flavio Cobolli,R,183.0,23,207494,,Dalibor Svrcina,R,178.0,23,6-4 6-4,3,R16
2026-0807,Acapulco,20260223,A,Hard,292,208233,,Mattia Bellucci,L,175.0,24,200221,4,Alejandro Davidovich Fokina,R,183.0,26,6-3 6-3,3,R16
2026-0807,Acapulco,20260223,A,Hard,293,200175,,Miomir Kecmanovic,R,183.0,26,100644,1,Alexander Zverev,R,198.0,28,6-3 6(3)-7 7-6(4),3,R16
2026-0807,Acapulco,20260223,A,Hard,294,200175,,Miomir Kecmanovic,R,183.0,26,209279,,Terence Atmane,L,193.0,23,6-3 6-3,3,QF
2026-0807,Acapulco,20260223,A,Hard,295,126207,8,Frances Tiafoe,R,188.0,27,208233,,Mattia Bellucci,L,175.0,24,6-3 6-4,3,QF
2026-0807,Acapulco,20260223,A,Hard,296,206909,,Brandon Nakashima,R,188.0,24,200473,6,Valentin Vacherot,R,193.0,27,2-6 6-2 6-3,3,QF
2026-0807,Acapulco,20260223,A,Hard,297,207925,5,Flavio Cobolli,R,183.0,23,200059,,Yibing Wu,R,183.0,26,7-6(4) 6-1,3,QF
2026-0807,Acapulco,20260223,A,Hard,298,126207,8,Frances Tiafoe,R,188.0,27,206909,,Brandon Nakashima,R,188.0,24,3-6 7-6(6) 6-4,3,SF
2026-0807,Acapulco,20260223,A,Hard,299,207925,5,Flavio Cobolli,R,183.0,23,200175,,Miomir Kecmanovic,R,183.0,26,7-6(5) 3-6 6-4,3,SF
2026-0807,Acapulco,20260223,A,Hard,300,207925,5,Flavio Cobolli,R,183.0,23,126207,8,Frances Tiafoe,R,188.0,27,7-6(4) 6-4,3,F
