tourney_id,tourney_name,tourney_date,tourney_level,surface,match_num,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,score,best_of,round
2026-8998,Adelaide,20260112,A,Hard,274,124187,,Reilly Opelka,R,211.0,28,200615,,Alexei Popyrin,R,196.0,26,6-3 7-6(6),3,R32
2026-8998,Adelaide,20260112,A,Hard,275,144719,,Jaume Munar,R,183.0,28,127157,,Daniel Altmaier,R,188.0,27,6-3 6-0,3,R32
2026-8998,Adelaide,20260112,A,Hard,276,106423,,Thanasi Kokkinakis,R,193.0,29,200624,,Sebastian Korda,R,196.0,25,3-6 6-3 7-6(3),3,R32
2026-8998,Adelaide,20260112,A,Hard,277,200005,,Ugo Humbert,L,188.0,27,209279,,Terence Atmane,L,193.0,23,6-3 7-6(3),3,R32
2026-8998,Adelaide,20260112,A,Hard,278,200473,5,Valentin Vacherot,R,193.0,27,200175,,Miomir Kecmanovic,R,183.0,26,7-6(5) 6-4,3,R32
2026-8998,Adelaide,20260112,A,Hard,279,131934,,Andrea Vavassori,R,193.0,30,209113,,Gabriel Diallo,R,203.0,24,6-3 7-6(4),3,R32
2026-8998,Adelaide,20260112,A,Hard,280,207686,,Alexander Shevchenko,R,185.0,25,106000,,Damir Dzumhur,R,175.0,33,4-6 6-4 7-5,3,R32
2026-8998,Adelaide,20260112,A,Hard,281,208014,,Rinky Hijikata,R,178.0,24,209262,,Tristan Schoolkate,R,183.0,24,6-4 6-4,3,R32
2026-8998,Adelaide,20260112,A,Hard,282,111460,,Quentin Halys,R,191.0,29,207985,,Jacob Fearnley,R,183.0,24,6-3 6-4,3,R32
2026-8998,Adelaide,20260112,A,Hard,283,105916,,Marton Fucsovics,R,188.0,33,210319,,Ethan Quinn,R,191.0,21,6-4 6-4,3,R32
2026-8998,Adelaide,20260112,A,Hard,284,207830,8,Tomas Machac,R,183.0,25,105902,,James Duckworth,R,183.0,33,6-3 6-3,3,R32
2026-8998,Adelaide,20260112,A,Hard,285,126846,,Aleksandar Vukic,R,188.0,29,126774,7,Stefanos Tsitsipas,R,193.0,27,7-6(3) 7-6(5),3,R32
2026-8998,Adelaide,20260112,A,Hard,286,126846,,Aleksandar Vukic,R,188.0,29,131934,,Andrea Vavassori,R,193.0,30,6-2 7-6(5),3,R16
2026-8998,Adelaide,20260112,A,Hard,287,207686,,Alexander Shevchenko,R,185.0,25,105916,,Marton Fucsovics,R,188.0,33,6-3 7-6(6),3,R16
2026-8998,Adelaide,20260112,A,Hard,288,207830,8,Tomas Machac,R,183.0,25,111460,,Quentin Halys,R,191.0,29,6-4 6-2,3,R16
2026-8998,Adelaide,20260112,A,Hard,289,200473,5,Valentin Vacherot,R,193.0,27,106423,,Thanasi Kokkinakis,R,193.0,29,,3,R16
2026-8998,Adelaide,20260112,A,Hard,290,200005,,Ugo Humbert,L,188.0,27,134868,4,Tallon Griekspoor,R,188.0,29,6-4 6-1,3,R16
2026-8998,Adelaide,20260112,A,Hard,291,144719,,Jaume Munar,R,183.0,28,202103,3,Francisco Cerundolo,R,185.0,27,3-6 7-5 6-4,3,R16
2026-8998,Adelaide,20260112,A,Hard,292,126205,2,Tommy Paul,R,185.0,28,124187,,Reilly Opelka,R,211.0,28,6-4 6-4,3,R16
2026-8998,Adelaide,20260112,A,Hard,293,200221,1,Alejandro Davidovich Fokina,R,183.0,26,208014,,Rinky Hijikata,R,178.0,24,6-3 6-2,3,R16
2026-8998,Adelaide,20260112,A,Hard,294,200005,,Ugo Humbert,L,188.0,27,207686,,Alexander Shevchenko,R,185.0,25,6-0 6-3,3,QF
2026-8998,Adelaide,20260112,A,Hard,295,207830,8,Tomas Machac,R,183.0,25,144719,,Jaume Munar,R,183.0,28,6-4 6-4,3,QF
2026-8998,Adelaide,20260112,A,Hard,296,126205,2,Tommy Paul,R,185.0,28,126846,,Aleksandar Vukic,R,188.0,29,6-3 6-2,3,QF
2026-8998,Adelaide,20260112,A,Hard,297,200221,1,Alejandro Davidovich Fokina,R,183.0,26,200473,5,Valentin Vacherot,R,193.0,27,7-6(4) 6-2,3,QF
2026-8998,Adelaide,20260112,A,Hard,298,207830,8,Tomas Machac,R,183.0,25,126205,2,Tommy Paul,R,185.0,28,2-6 6-3 6-3,3,SF
2026-8998,Adelaide,20260112,A,Hard,299,200005,,Ugo Humbert,L,188.0,27,200221,1,Alejandro Davidovich Fokina,R,183.0,26,6-3 5-7 7-6(4),3,SF
2026-8998,Adelaide,20260112,A,Hard,300,207830,8,Tomas Machac,R,183.0,25,200005,,Ugo Humbert,L,188.0,27,6-4 6(2)-7 6-2,3,F
