tourney_id,tourney_name,tourney_date,tourney_level,surface,match_num,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,score,best_of,round
2026-580,Australian Open,20260118,G,Hard,174,210116,,Michael Zheng,R,188.0,21,200624,,Sebastian Korda,R,196.0,25,6-4 6-4 3-6 6(0)-7 6-3,5,R128
2026-580,Australian Open,20260118,G,Hard,175,207182,,Emilio Nava,R,185.0,24,208021,,Kyrian Jacquet,R,178.0,24,6-2 7-5 6(5)-7 4-6 7-6(6),5,R128
2026-580,Australian Open,20260118,G,Hard,176,105870,,Yannick Hanfmann,R,193.0,34,208260,,Zachary Svajda,R,175.0,23,7-5 4-6 6-4 7-6(3),5,R128
2026-580,Australian Open,20260118,G,Hard,177,105916,,Marton Fucsovics,R,188.0,33,200116,,Camilo Ugo Carabelli,R,185.0,26,7-6(5) 6-1 6-2,5,R128
2026-580,Australian Open,20260118,G,Hard,178,210262,,Jaime Faria,R,188.0,22,210696,,Alexander Blockx,R,191.0,20,6-3 3-6 6-3 6-4,5,R128
2026-580,Australian Open,20260118,G,Hard,179,144869,,Tomas Martin Etcheverry,R,196.0,26,200175,,Miomir Kecmanovic,R,183.0,26,6-2 3-6 4-6 6-3 6-4,5,R128
2026-580,Australian Open,20260118,G,Hard,180,106000,,Damir Dzumhur,R,175.0,33,208119,,Liam Draxl,R,185.0,24,7-5 6-0 6-4,5,R128
2026-580,Australian Open,20260118,G,Hard,181,207681,,Francisco Comesana,R,178.0,25,200516,,Patrick Kypson,R,188.0,26,6-2 6-3 3-6 6-3,5,R128
2026-580,Australian Open,20260118,G,Hard,182,144895,32,Corentin Moutet,L,180.0,26,209262,,Tristan Schoolkate,R,183.0,24,6-4 7-6(1) 6-3,5,R128
2026-580,Australian Open,20260118,G,Hard,183,126207,29,Frances Tiafoe,R,188.0,27,106186,,Jason Kubler,R,178.0,32,7-6(4) 6-3 6-2,5,R128
2026-580,Australian Open,20260118,G,Hard,184,111815,26,Cameron Norrie,L,188.0,30,126127,,Benjamin Bonzi,R,183.0,29,6-0 6(2)-7 4-6 6-3 6-4,5,R128
2026-580,Australian Open,20260118,G,Hard,185,209259,,Arthur Fery,R,175.0,23,207925,20,Flavio Cobolli,R,183.0,23,7-6(1) 6-4 6-1,5,R128
2026-580,Australian Open,20260118,G,Hard,186,202103,18,Francisco Cerundolo,R,185.0,27,111190,,Zhizhen Zhang,R,193.0,29,6-3 7-6(0) 6-3,5,R128
2026-580,Australian Open,20260118,G,Hard,187,122330,10,Alexander Bublik,R,196.0,28,202385,,Jenson Brooksby,R,188.0,25,6-4 6-4 6-4,5,R128
2026-580,Australian Open,20260118,G,Hard,188,100644,3,Alexander Zverev,R,198.0,28,209113,,Gabriel Diallo,R,203.0,24,6(1)-7 6-1 6-4 6-2,5,R128
2026-580,Australian Open,20260118,G,Hard,189,207989,1,Carlos Alcaraz,R,183.0,22,200443,,Adam Walton,R,183.0,26,6-3 7-6(2) 6-2,5,R128
2026-580,Australian Open,20260118,G,Hard,190,104527,,Stan Wawrinka,R,183.0,40,111513,,Laslo Djere,R,188.0,30,5-7 6-3 6-4 7-6(4),5,R128
2026-580,Australian Open,20260118,G,Hard,191,202058,,Thiago Agustin Tirante,R,185.0,24,126846,,Aleksandar Vukic,R,188.0,29,7-5 6-2 6-2,5,R128
2026-580,Australian Open,20260118,G,Hard,192,111442,,Jordan Thompson,R,183.0,31,207678,,Juan Manuel Cerundolo,L,183.0,24,6(3)-7 7-5 6-1 6-1,5,R128
2026-580,Australian Open,20260118,G,Hard,193,207686,,Alexander Shevchenko,R,185.0,25,111200,,Elias Ymer,R,185.0,29,3-6 7-5 6-4 6-1,5,R128
2026-580,Australian Open,20260118,G,Hard,194,209992,,Juncheng Shang,L,180.0,20,105138,,Roberto Bautista Agut,R,183.0,37,6-4 6(2)-7 6-4 6-0,5,R128
2026-580,Australian Open,20260118,G,Hard,195,124187,,Reilly Opelka,R,211.0,28,149282,,Nicolai Budkov Kjaer,R,188.0,19,6-4 6-3 6-4,5,R128
2026-580,Australian Open,20260118,G,Hard,196,144719,,Jaume Munar,R,183.0,28,207494,,Dalibor Svrcina,R,178.0,23,3-6 6-2 6(5)-7 7-5 6-3,5,R128
2026-580,Australian Open,20260118,G,Hard,197,124186,,Alexandre Muller,R,183.0,28,200615,,Alexei Popyrin,R,196.0,26,2-6 6-3 3-6 7-6(5) 7-6(4),5,R128
2026-580,Australian Open,20260118,G,Hard,198,209098,,Hamad Medjedovic,R,188.0,22,208363,,Mariano Navone,R,178.0,24,6-2 6(3)-7 6-4 6-2,5,R128
2026-580,Australian Open,20260118,G,Hard,199,111794,,Kamil Majchrzak,R,180.0,29,207985,,Jacob Fearnley,R,183.0,24,7-6(2) 7-5 3-6 7-6(3),5,R128
2026-580,Australian Open,20260118,G,Hard,200,208353,,Francesco Maestrelli,R,196.0,23,209279,,Terence Atmane,L,193.0,23,6-4 3-6 6(4)-7 6-1 6-1,5,R128
2026-580,Australian Open,20260118,G,Hard,201,208014,,Rinky Hijikata,R,178.0,24,105173,,Adrian Mannarino,L,180.0,37,6-3 6-3 6-1,5,R128
2026-580,Australian Open,20260118,G,Hard,202,111460,,Quentin Halys,R,191.0,29,126214,,Alejandro Tabilo,L,188.0,28,6-2 6-2 7-6(2),5,R128
