tourney_id,tourney_name,tourney_date,tourney_level,surface,match_num,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,score,best_of,round
2026-0425,Barcelona,20260513,A,Clay,270,210319,,Ethan Quinn,R,191.0,21,124187,,Reilly Opelka,R,211.0,28,7-5 7-6(7),3,R32
2026-0425,Barcelona,20260513,A,Clay,271,144895,,Corentin Moutet,L,180.0,26,209860,,Ignacio Buse,R,185.0,21,6-4 6-4,3,R32
2026-0425,Barcelona,20260513,A,Clay,272,209098,,Hamad Medjedovic,R,188.0,22,105477,,Marco Trungelliti,R,178.0,35,7-5 6-4,3,R32
2026-0425,Barcelona,20260513,A,Clay,273,212588,,Rafael Jodar,U,,19,144719,,Jaume Munar,R,183.0,28,6-1 6-2,3,R32
2026-0425,Barcelona,20260513,A,Clay,274,132686,,Nuno Borges,R,185.0,28,105173,,Adrian Mannarino,L,180.0,37,6-3 6-4,3,R32
2026-0425,Barcelona,20260513,A,Clay,275,144869,,Tomas Martin Etcheverry,R,196.0,26,207733,8,Jack Draper,L,193.0,24,3-6 6-3 4-1,3,R32
2026-0425,Barcelona,20260513,A,Clay,276,111815,7,Cameron Norrie,L,188.0,30,104527,,Stan Wawrinka,R,183.0,40,6-4 6(5)-7 6-4,3,R32
2026-0425,Barcelona,20260513,A,Clay,277,132283,,Lorenzo Sonego,R,191.0,30,117531,,Pedro Villena Martinez,U,,43,6-2 2-6 6-4,3,R32
2026-0425,Barcelona,20260513,A,Clay,278,206909,,Brandon Nakashima,R,188.0,24,207678,,Juan Manuel Cerundolo,L,183.0,24,6-3 7-5,3,R32
2026-0425,Barcelona,20260513,A,Clay,279,207830,,Tomas Machac,R,183.0,25,202104,,Sebastian Baez,R,170.0,25,2-6 6-4 6-1,3,R32
2026-0425,Barcelona,20260513,A,Clay,280,209950,9,Arthur Fils,R,185.0,21,209279,,Terence Atmane,L,193.0,23,4-6 6-4 7-6(7),3,R32
2026-0425,Barcelona,20260513,A,Clay,281,126094,5,Andrey Rublev,R,188.0,28,208363,,Mariano Navone,R,178.0,24,6-4 7-5,3,R32
2026-0425,Barcelona,20260513,A,Clay,282,200116,,Camilo Ugo Carabelli,R,185.0,26,111575,4,Karen Khachanov,R,198.0,29,6-3 6-4,3,R32
2026-0425,Barcelona,20260513,A,Clay,283,200282,3,Alex De Minaur,R,183.0,26,124116,,Sebastian Ofner,R,191.0,29,7-6(7) 6-4,3,R32
2026-0425,Barcelona,20260513,A,Clay,284,207518,2,Lorenzo Musetti,R,185.0,23,211776,,Martin Landaluce,R,191.0,19,7-5 6-2,3,R32
2026-0425,Barcelona,20260513,A,Clay,285,207989,1,Carlos Alcaraz,R,183.0,22,202261,,Otto Virtanen,R,193.0,24,6-4 6-2,3,R32
2026-0425,Barcelona,20260513,A,Clay,286,207830,,Tomas Machac,R,183.0,25,207989,,Carlos Alcaraz,R,183.0,22,,3,R16
2026-0425,Barcelona,20260513,A,Clay,287,212588,,Rafael Jodar,U,,19,200116,,Camilo Ugo Carabelli,R,185.0,26,6-3 6-3,3,R16
2026-0425,Barcelona,20260513,A,Clay,288,132686,,Nuno Borges,R,185.0,28,144869,,Tomas Martin Etcheverry,R,196.0,26,6-3 7-6(4),3,R16
2026-0425,Barcelona,20260513,A,Clay,289,111815,7,Cameron Norrie,L,188.0,30,210319,,Ethan Quinn,R,191.0,21,6-3 4-6 6-4,3,R16
2026-0425,Barcelona,20260513,A,Clay,290,209098,,Hamad Medjedovic,R,188.0,22,200282,3,Alex De Minaur,R,183.0,26,6-3 6-4,3,R16
2026-0425,Barcelona,20260513,A,Clay,291,209950,9,Arthur Fils,R,185.0,21,206909,,Brandon Nakashima,R,188.0,24,6-2 6-3,3,R16
2026-0425,Barcelona,20260513,A,Clay,292,126094,5,Andrey Rublev,R,188.0,28,132283,,Lorenzo Sonego,R,191.0,30,6-2 6-3,3,R16
2026-0425,Barcelona,20260513,A,Clay,293,207518,2,Lorenzo Musetti,R,185.0,23,144895,,Corentin Moutet,L,180.0,26,6-3 6-4,3,R16
2026-0425,Barcelona,20260513,A,Clay,294,209098,,Hamad Medjedovic,R,188.0,22,132686,,Nuno Borges,R,185.0,28,7-6(6) 6-2,3,QF
2026-0425,Barcelona,20260513,A,Clay,295,212588,,Rafael Jodar,U,,19,111815,7,Cameron Norrie,L,188.0,30,6-3 6-2,3,QF
2026-0425,Barcelona,20260513,A,Clay,296,126094,5,Andrey Rublev,R,188.0,28,207830,,Tomas Machac,R,183.0,25,6-4 6-3,3,QF
2026-0425,Barcelona,20260513,A,Clay,297,209950,9,Arthur Fils,R,185.0,21,207518,2,Lorenzo Musetti,R,185.0,23,6-3 6-4,3,QF
2026-0425,Barcelona,20260513,A,Clay,298,209950,9,Arthur Fils,R,185.0,21,212588,,Rafael Jodar,U,,19,3-6 6-3 6-2,3,SF
2026-0425,Barcelona,20260513,A,Clay,299,126094,5,Andrey Rublev,R,188.0,28,209098,,Hamad Medjedovic,R,188.0,22,3-6 6-2 6-2,3,SF
2026-0425,Barcelona,20260513,A,Clay,300,209950,9,Arthur Fils,R,185.0,21,126094,5,Andrey Rublev,R,188.0,28,6-2 7-6(2),3,F
