tourney_id,tourney_name,tourney_date,tourney_level,surface,match_num,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,score,best_of,round
2026-0499,Delray Beach,20260216,A,Hard,274,209409,,Coleman Wong,R,191.0,21,132686,,Nuno Borges,R,185.0,28,7-6(5) 4-6 6-3,3,R32
2026-0499,Delray Beach,20260216,A,Hard,275,106218,,Marcos Giron,R,180.0,32,200647,,Sho Shimabukuro,R,180.0,28,6-3 7-5,3,R32
2026-0499,Delray Beach,20260216,A,Hard,276,209279,,Terence Atmane,L,193.0,23,200516,,Patrick Kypson,R,188.0,26,6-3 2-6 6-4,3,R32
2026-0499,Delray Beach,20260216,A,Hard,277,126207,8,Frances Tiafoe,R,188.0,27,208014,,Rinky Hijikata,R,178.0,24,6-4 6-4,3,R32
2026-0499,Delray Beach,20260216,A,Hard,278,210506,,Alex Michelsen,R,193.0,21,200473,6,Valentin Vacherot,R,193.0,27,7-6(4) 6-4,3,R32
2026-0499,Delray Beach,20260216,A,Hard,279,200443,,Adam Walton,R,183.0,26,209113,,Gabriel Diallo,R,203.0,24,7-6(4) 6-3,3,R32
2026-0499,Delray Beach,20260216,A,Hard,280,208260,,Zachary Svajda,R,175.0,23,206499,,Aleksandar Kovacevic,R,183.0,27,7-6(4) 6-3,3,R32
2026-0499,Delray Beach,20260216,A,Hard,281,200624,,Sebastian Korda,R,196.0,25,111456,,Mackenzie Mcdonald,R,178.0,30,6-4 7-5,3,R32
2026-0499,Delray Beach,20260216,A,Hard,282,200175,,Miomir Kecmanovic,R,183.0,26,208233,,Mattia Bellucci,L,175.0,24,6-1 6-4,3,R32
2026-0499,Delray Beach,20260216,A,Hard,283,212588,,Rafael Jodar,U,,19,210319,,Ethan Quinn,R,191.0,21,6-2 6-3,3,R32
2026-0499,Delray Beach,20260216,A,Hard,284,206909,7,Brandon Nakashima,R,188.0,24,105227,,Marin Cilic,R,198.0,37,7-6(4) 7-6(5),3,R32
2026-0499,Delray Beach,20260216,A,Hard,285,126205,5,Tommy Paul,R,185.0,28,144895,,Corentin Moutet,L,180.0,26,4-6 6-3 6-4,3,R32
2026-0499,Delray Beach,20260216,A,Hard,286,200624,,Sebastian Korda,R,196.0,25,210506,,Alex Michelsen,R,193.0,21,6-3 7-6(6),3,R16
2026-0499,Delray Beach,20260216,A,Hard,287,209409,,Coleman Wong,R,191.0,21,206909,7,Brandon Nakashima,R,188.0,24,6-4 7-6(4),3,R16
2026-0499,Delray Beach,20260216,A,Hard,288,207925,3,Flavio Cobolli,R,183.0,23,209279,,Terence Atmane,L,193.0,23,7-5 6-4,3,R16
2026-0499,Delray Beach,20260216,A,Hard,289,134770,2,Casper Ruud,R,183.0,27,106218,,Marcos Giron,R,180.0,32,4-6 7-6(6) 6-4,3,R16
2026-0499,Delray Beach,20260216,A,Hard,290,126207,8,Frances Tiafoe,R,188.0,27,208260,,Zachary Svajda,R,175.0,23,6-4 3-6 7-5,3,R16
2026-0499,Delray Beach,20260216,A,Hard,291,126205,5,Tommy Paul,R,185.0,28,200443,,Adam Walton,R,183.0,26,7-6(11) 6-3,3,R16
2026-0499,Delray Beach,20260216,A,Hard,292,210530,4,Learner Tien,L,180.0,20,200175,,Miomir Kecmanovic,R,183.0,26,6-4 6(4)-7 7-6(5),3,R16
2026-0499,Delray Beach,20260216,A,Hard,293,126203,1,Taylor Fritz,R,196.0,28,212588,,Rafael Jodar,U,,19,7-6(4) 6-4,3,R16
2026-0499,Delray Beach,20260216,A,Hard,294,210530,4,Learner Tien,L,180.0,20,126207,8,Frances Tiafoe,R,188.0,27,7-6(5) 3-6 7-5,3,QF
2026-0499,Delray Beach,20260216,A,Hard,295,207925,3,Flavio Cobolli,R,183.0,23,209409,,Coleman Wong,R,191.0,21,7-5 6(7)-7 6-2,3,QF
2026-0499,Delray Beach,20260216,A,Hard,296,200624,,Sebastian Korda,R,196.0,25,134770,2,Casper Ruud,R,183.0,27,4-6 6-2 6-2,3,QF
2026-0499,Delray Beach,20260216,A,Hard,297,126205,5,Tommy Paul,R,185.0,28,126203,1,Taylor Fritz,R,196.0,28,6-4 6-3,3,QF
2026-0499,Delray Beach,20260216,A,Hard,298,126205,5,Tommy Paul,R,185.0,28,210530,4,Learner Tien,L,180.0,20,4-6 6-4 6-3,3,SF
2026-0499,Delray Beach,20260216,A,Hard,299,200624,,Sebastian Korda,R,196.0,25,207925,3,Flavio Cobolli,R,183.0,23,7-6(1) 6-1,3,SF
2026-0499,Delray Beach,20260216,A,Hard,300,200624,,Sebastian Korda,R,196.0,25,126205,5,Tommy Paul,R,185.0,28,6-4 6-3,3,F
