tourney_id,tourney_name,tourney_date,tourney_level,surface,match_num,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,score,best_of,round
2026-0495,Dubai,20260223,A,Hard,270,104527,,Stan Wawrinka,R,183.0,40,133975,,Benjamin Hassan,R,183.0,30,7-5 6-3,3,R32
2026-0495,Dubai,20260223,A,Hard,271,208659,,Giovanni Mpetshi Perricard,R,203.0,22,121411,,Moez Echargui,R,178.0,32,7-6(3) 6(3)-7 7-6(4),3,R32
2026-0495,Dubai,20260223,A,Hard,272,207733,4,Jack Draper,L,193.0,24,111460,,Quentin Halys,R,191.0,29,7-6(8) 6-3,3,R32
2026-0495,Dubai,20260223,A,Hard,273,200000,1,Felix Auger Aliassime,R,193.0,25,111190,,Zhizhen Zhang,R,193.0,29,6-3 7-6(4),3,R32
2026-0495,Dubai,20260223,A,Hard,274,126239,,Arthur Rinderknech,R,196.0,30,206681,,Fabian Marozsan,R,193.0,26,3-6 6-3 6-4,3,R32
2026-0495,Dubai,20260223,A,Hard,275,200615,,Alexei Popyrin,R,196.0,26,111794,,Kamil Majchrzak,R,180.0,29,3-6 6-3 7-5,3,R32
2026-0495,Dubai,20260223,A,Hard,276,200005,,Ugo Humbert,L,188.0,27,126774,,Stefanos Tsitsipas,R,193.0,27,6-4 7-5,3,R32
2026-0495,Dubai,20260223,A,Hard,277,134868,,Tallon Griekspoor,R,188.0,29,202261,,Otto Virtanen,R,193.0,24,6-3 6-4,3,R32
2026-0495,Dubai,20260223,A,Hard,278,105807,,Pablo Carreno Busta,R,188.0,34,133430,,Denis Shapovalov,L,185.0,26,6-2 6-4,3,R32
2026-0495,Dubai,20260223,A,Hard,279,202385,,Jenson Brooksby,R,188.0,25,200267,,Zizou Bergs,R,185.0,26,6-3 6-4,3,R32
2026-0495,Dubai,20260223,A,Hard,280,208103,8,Jiri Lehecka,R,185.0,24,208134,,Luca Nardi,R,185.0,22,4-6 6-4 6-2,3,R32
2026-0495,Dubai,20260223,A,Hard,281,111575,7,Karen Khachanov,R,198.0,29,207686,,Alexander Shevchenko,R,185.0,25,6(5)-7 6-2 6-3,3,R32
2026-0495,Dubai,20260223,A,Hard,282,210084,6,Jakub Mensik,U,,20,128034,,Hubert Hurkacz,R,196.0,28,6-4 7-6(7),3,R32
2026-0495,Dubai,20260223,A,Hard,283,126094,5,Andrey Rublev,R,188.0,28,208316,,Valentin Royer,R,188.0,24,6-3 6-4,3,R32
2026-0495,Dubai,20260223,A,Hard,284,106421,3,Daniil Medvedev,R,198.0,29,209992,,Juncheng Shang,L,180.0,20,6-1 6-3,3,R32
2026-0495,Dubai,20260223,A,Hard,285,122330,2,Alexander Bublik,R,196.0,28,105526,,Jan Lennard Struff,R,193.0,35,6-3 6-4,3,R32
2026-0495,Dubai,20260223,A,Hard,286,208103,8,Jiri Lehecka,R,185.0,24,105807,,Pablo Carreno Busta,R,188.0,34,7-6(6) 6-4,3,R16
2026-0495,Dubai,20260223,A,Hard,287,202385,,Jenson Brooksby,R,188.0,25,111575,7,Karen Khachanov,R,198.0,29,7-6(6) 6-4,3,R16
2026-0495,Dubai,20260223,A,Hard,288,210084,6,Jakub Mensik,U,,20,200615,,Alexei Popyrin,R,196.0,26,6-3 6-2,3,R16
2026-0495,Dubai,20260223,A,Hard,289,126094,5,Andrey Rublev,R,188.0,28,200005,,Ugo Humbert,L,188.0,27,6-4 6(5)-7 6-3,3,R16
2026-0495,Dubai,20260223,A,Hard,290,126239,,Arthur Rinderknech,R,196.0,30,207733,4,Jack Draper,L,193.0,24,7-5 6(4)-7 6-4,3,R16
2026-0495,Dubai,20260223,A,Hard,291,106421,3,Daniil Medvedev,R,198.0,29,104527,,Stan Wawrinka,R,183.0,40,6-2 6-3,3,R16
2026-0495,Dubai,20260223,A,Hard,292,134868,,Tallon Griekspoor,R,188.0,29,122330,2,Alexander Bublik,R,196.0,28,6-3 7-6(4),3,R16
2026-0495,Dubai,20260223,A,Hard,293,200000,1,Felix Auger Aliassime,R,193.0,25,208659,,Giovanni Mpetshi Perricard,R,203.0,22,6-4 6-4,3,R16
2026-0495,Dubai,20260223,A,Hard,294,134868,,Tallon Griekspoor,R,188.0,29,210084,6,Jakub Mensik,U,,20,6-3 3-6 6-2,3,QF
2026-0495,Dubai,20260223,A,Hard,295,126094,5,Andrey Rublev,R,188.0,28,126239,,Arthur Rinderknech,R,196.0,30,6-2 6-4,3,QF
2026-0495,Dubai,20260223,A,Hard,296,106421,3,Daniil Medvedev,R,198.0,29,202385,,Jenson Brooksby,R,188.0,25,6-2 6-1,3,QF
2026-0495,Dubai,20260223,A,Hard,297,200000,1,Felix Auger Aliassime,R,193.0,25,208103,8,Jiri Lehecka,R,185.0,24,6-3 7-6(2),3,QF
2026-0495,Dubai,20260223,A,Hard,298,134868,,Tallon Griekspoor,R,188.0,29,126094,5,Andrey Rublev,R,188.0,28,7-5 7-6(6),3,SF
2026-0495,Dubai,20260223,A,Hard,299,106421,3,Daniil Medvedev,R,198.0,29,200000,1,Felix Auger Aliassime,R,193.0,25,6-4 6-2,3,SF
2026-0495,Dubai,20260223,A,Hard,300,106421,3,Daniil Medvedev,R,198.0,29,134868,,Tallon Griekspoor,R,188.0,29,,3,F
