tourney_id,tourney_name,tourney_date,tourney_level,surface,match_num,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,score,best_of,round
2026-0404,Indian Wells Masters,20260304,M,Hard,206,200443,,Adam Walton,R,183.0,26,111460,,Quentin Halys,R,191.0,29,6-3 6-3,3,R128
2026-0404,Indian Wells Masters,20260304,M,Hard,207,200116,,Camilo Ugo Carabelli,R,185.0,26,102093,,Martin Damm,L,203.0,22,7-6(5) 6-3,3,R128
2026-0404,Indian Wells Masters,20260304,M,Hard,208,207494,,Dalibor Svrcina,R,178.0,23,105902,,James Duckworth,R,183.0,33,6-2 6-4,3,R128
2026-0404,Indian Wells Masters,20260304,M,Hard,209,208260,,Zachary Svajda,R,175.0,23,105227,,Marin Cilic,R,198.0,37,7-6(5) 6-4,3,R128
2026-0404,Indian Wells Masters,20260304,M,Hard,210,133430,,Denis Shapovalov,L,185.0,26,126774,,Stefanos Tsitsipas,R,193.0,27,6-2 3-6 6-4,3,R128
2026-0404,Indian Wells Masters,20260304,M,Hard,211,209976,,Dino Prizmic,R,188.0,20,209262,,Tristan Schoolkate,R,183.0,24,7-6(5) 3-6 7-5,3,R128
2026-0404,Indian Wells Masters,20260304,M,Hard,212,124187,,Reilly Opelka,R,211.0,28,210319,,Ethan Quinn,R,191.0,21,7-5 7-6(3),3,R128
2026-0404,Indian Wells Masters,20260304,M,Hard,213,104792,,Gael Monfils,R,193.0,39,200008,,Alexis Galarneau,R,180.0,26,6-3 6-4,3,R128
2026-0404,Indian Wells Masters,20260304,M,Hard,214,200175,,Miomir Kecmanovic,R,183.0,26,127157,,Daniel Altmaier,R,188.0,27,6-3 1-0,3,R128
2026-0404,Indian Wells Masters,20260304,M,Hard,215,106218,,Marcos Giron,R,180.0,32,208363,,Mariano Navone,R,178.0,24,4-6 7-5 6-3,3,R128
2026-0404,Indian Wells Masters,20260304,M,Hard,216,105916,,Marton Fucsovics,R,188.0,33,106331,,Christopher Oconnell,R,183.0,31,7-5 6-3,3,R128
2026-0404,Indian Wells Masters,20260304,M,Hard,217,211663,,Joao Fonseca,R,185.0,19,209920,,Raphael Collignon,R,191.0,23,7-6(2) 6-4,3,R128
2026-0404,Indian Wells Masters,20260304,M,Hard,218,209113,,Gabriel Diallo,R,203.0,24,208233,,Mattia Bellucci,L,175.0,24,7-6(5) 6-4,3,R128
