tourney_id,tourney_name,tourney_date,tourney_level,surface,match_num,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,score,best_of,round
2026-0403,Miami Masters,20260318,M,Hard,206,122298,,Botic Van De Zandschulp,R,191.0,30,133430,,Denis Shapovalov,L,185.0,26,7-5 6-3,3,R128
2026-0403,Miami Masters,20260318,M,Hard,207,200116,,Camilo Ugo Carabelli,R,185.0,26,208659,,Giovanni Mpetshi Perricard,R,203.0,22,2-6 6-3 7-6(3),3,R128
2026-0403,Miami Masters,20260318,M,Hard,208,126774,,Stefanos Tsitsipas,R,193.0,27,209259,,Arthur Fery,R,175.0,23,6-1 7-6(4),3,R128
2026-0403,Miami Masters,20260318,M,Hard,209,126214,,Alejandro Tabilo,L,188.0,28,207681,,Francisco Comesana,R,178.0,25,6-4 6-2,3,R128
2026-0403,Miami Masters,20260318,M,Hard,210,210319,,Ethan Quinn,R,191.0,21,128034,,Hubert Hurkacz,R,196.0,28,6-2 6-4,3,R128
2026-0403,Miami Masters,20260318,M,Hard,211,124187,,Reilly Opelka,R,211.0,28,132686,,Nuno Borges,R,185.0,28,6(6)-7 6-2 7-6(5),3,R128
2026-0403,Miami Masters,20260318,M,Hard,212,208363,,Mariano Navone,R,178.0,24,105932,,Nikoloz Basilashvili,R,185.0,33,7-6(7) 6-3,3,R128
2026-0403,Miami Masters,20260318,M,Hard,213,210506,,Alex Michelsen,R,193.0,21,208233,,Mattia Bellucci,L,175.0,24,6-2 6-1,3,R128
2026-0403,Miami Masters,20260318,M,Hard,214,105173,,Adrian Mannarino,L,180.0,37,111190,,Zhizhen Zhang,R,193.0,29,6-3 6-2,3,R128
2026-0403,Miami Masters,20260318,M,Hard,215,111794,,Kamil Majchrzak,R,180.0,29,200175,,Miomir Kecmanovic,R,183.0,26,4-6 6-3 6-1,3,R128
2026-0403,Miami Masters,20260318,M,Hard,216,207830,,Tomas Machac,R,183.0,25,207182,,Emilio Nava,R,185.0,24,2-6 6-4 6-1,3,R128
2026-0403,Miami Masters,20260318,M,Hard,217,211776,,Martin Landaluce,R,191.0,19,106218,,Marcos Giron,R,180.0,32,6-3 7-6(6),3,R128
