tourney_id,tourney_name,tourney_date,tourney_level,surface,match_num,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,score,best_of,round
2026-0375,Montpellier,20260202,A,Hard,274,105173,,Adrian Mannarino,L,180.0,37,117531,,Pedro Villena Martinez,U,,43,7-6(3) 6-1,3,R32
2026-0375,Montpellier,20260202,A,Hard,275,210338,,Arthur Gea,R,180.0,20,208659,,Giovanni Mpetshi Perricard,R,203.0,22,6-3,3,R32
2026-0375,Montpellier,20260202,A,Hard,276,105138,,Roberto Bautista Agut,R,183.0,37,106331,,Christopher Oconnell,R,183.0,31,5-7 6-3 7-5,3,R32
2026-0375,Montpellier,20260202,A,Hard,277,208169,,Titouan Droguet,R,191.0,24,123828,,Jan Choinski,R,196.0,29,6-2 7-6(2),3,R32
2026-0375,Montpellier,20260202,A,Hard,278,105807,,Pablo Carreno Busta,R,188.0,34,200175,,Miomir Kecmanovic,R,183.0,26,4-6 6-3 7-6(4),3,R32
2026-0375,Montpellier,20260202,A,Hard,279,200259,,Ugo Blanchet,R,175.0,26,131934,,Andrea Vavassori,R,193.0,30,6-4 6-3,3,R32
2026-0375,Montpellier,20260202,A,Hard,280,102093,,Martin Damm,L,203.0,22,128034,7,Hubert Hurkacz,R,196.0,28,7-6(5) 6-4,3,R32
2026-0375,Montpellier,20260202,A,Hard,281,209950,6,Arthur Fils,R,185.0,21,208316,,Valentin Royer,R,188.0,24,7-6(7) 6(4)-7 6-2,3,R32
2026-0375,Montpellier,20260202,A,Hard,282,200005,5,Ugo Humbert,L,188.0,27,122298,,Botic Van De Zandschulp,R,191.0,30,6-3 6-4,3,R32
2026-0375,Montpellier,20260202,A,Hard,283,104527,,Stan Wawrinka,R,183.0,40,209098,,Hamad Medjedovic,R,188.0,22,7-6(3) 6-4,3,R32
2026-0375,Montpellier,20260202,A,Hard,284,208134,,Luca Nardi,R,185.0,22,105932,,Nikoloz Basilashvili,R,185.0,33,6-3 6-3,3,R32
2026-0375,Montpellier,20260202,A,Hard,285,206499,8,Aleksandar Kovacevic,R,183.0,27,213608,,Moise Kouame,R,,16,6(5)-7 6-2 6-2,3,R32
2026-0375,Montpellier,20260202,A,Hard,286,102093,,Martin Damm,L,203.0,22,105138,,Roberto Bautista Agut,R,183.0,37,6-1 6-3,3,R16
2026-0375,Montpellier,20260202,A,Hard,287,105173,,Adrian Mannarino,L,180.0,37,200005,5,Ugo Humbert,L,188.0,27,6(4)-7 6-3 7-6(4),3,R16
2026-0375,Montpellier,20260202,A,Hard,288,210338,,Arthur Gea,R,180.0,20,207830,3,Tomas Machac,R,183.0,25,6-3 4-5,3,R16
2026-0375,Montpellier,20260202,A,Hard,289,208169,,Titouan Droguet,R,191.0,24,206499,8,Aleksandar Kovacevic,R,183.0,27,4-6 7-6(5) 6-4,3,R16
2026-0375,Montpellier,20260202,A,Hard,290,209950,6,Arthur Fils,R,185.0,21,200259,,Ugo Blanchet,R,175.0,26,7-6(4) 7-5,3,R16
2026-0375,Montpellier,20260202,A,Hard,291,134868,4,Tallon Griekspoor,R,188.0,29,105807,,Pablo Carreno Busta,R,188.0,34,6-4 6-4,3,R16
2026-0375,Montpellier,20260202,A,Hard,292,208134,,Luca Nardi,R,185.0,22,207925,,Flavio Cobolli,R,183.0,23,6-2 6-3,3,R16
2026-0375,Montpellier,20260202,A,Hard,293,200000,,Felix Auger Aliassime,R,193.0,25,104527,,Stan Wawrinka,R,183.0,40,6-4 7-6(3),3,R16
2026-0375,Montpellier,20260202,A,Hard,294,105173,,Adrian Mannarino,L,180.0,37,210338,,Arthur Gea,R,180.0,20,5-7 6-4 6-4,3,QF
2026-0375,Montpellier,20260202,A,Hard,295,102093,,Martin Damm,L,203.0,22,208134,,Luca Nardi,R,185.0,22,6-3 7-6(8),3,QF
2026-0375,Montpellier,20260202,A,Hard,296,208169,,Titouan Droguet,R,191.0,24,134868,4,Tallon Griekspoor,R,188.0,29,7-6(5) 7-6(1),3,QF
2026-0375,Montpellier,20260202,A,Hard,297,200000,,Felix Auger Aliassime,R,193.0,25,209950,6,Arthur Fils,R,185.0,21,6-4 6-2,3,QF
2026-0375,Montpellier,20260202,A,Hard,298,105173,,Adrian Mannarino,L,180.0,37,102093,,Martin Damm,L,203.0,22,1-6 6-3 6-4,3,SF
2026-0375,Montpellier,20260202,A,Hard,299,200000,,Felix Auger Aliassime,R,193.0,25,208169,,Titouan Droguet,R,191.0,24,6-4 6(5)-7 6-1,3,SF
2026-0375,Montpellier,20260202,A,Hard,300,200000,,Felix Auger Aliassime,R,193.0,25,105173,,Adrian Mannarino,L,180.0,37,6-3 7-6(4),3,F
