tourney_id,tourney_name,tourney_date,tourney_level,surface,match_num,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,score,best_of,round
2026-0308,Munich,20260513,A,Clay,270,122298,,Botic Van De Zandschulp,R,191.0,30,144817,,Marc Andrea Huesler,L,196.0,29,7-6(7) 6-3,3,R32
2026-0308,Munich,20260513,A,Clay,271,209113,,Gabriel Diallo,R,203.0,24,126964,,Vitaliy Sachko,R,188.0,28,6-1 6-2,3,R32
2026-0308,Munich,20260513,A,Clay,272,210696,,Alexander Blockx,R,191.0,20,105870,,Yannick Hanfmann,R,193.0,34,7-6(2) 6-2,3,R32
2026-0308,Munich,20260513,A,Clay,273,126239,7,Arthur Rinderknech,R,196.0,30,210506,,Alex Michelsen,R,193.0,21,6-3 6-3,3,R32
2026-0308,Munich,20260513,A,Clay,274,202103,5,Francisco Cerundolo,R,185.0,27,111576,,Sumit Nagal,R,178.0,28,6-2 6-2,3,R32
2026-0308,Munich,20260513,A,Clay,275,210097,2,Ben Shelton,L,193.0,23,207182,,Emilio Nava,R,185.0,24,7-6(4) 3-6 6-3,3,R32
2026-0308,Munich,20260513,A,Clay,276,206681,,Fabian Marozsan,R,193.0,26,126774,,Stefanos Tsitsipas,R,193.0,27,3-6 7-6(5) 6-4,3,R32
2026-0308,Munich,20260513,A,Clay,277,200240,,Vit Kopriva,R,178.0,28,211514,,Justin Engel,U,,18,6-3 5-7 6-2,3,R32
2026-0308,Munich,20260513,A,Clay,278,211663,,Joao Fonseca,R,185.0,19,126214,,Alejandro Tabilo,L,188.0,28,7-6(1) 6-3,3,R32
2026-0308,Munich,20260513,A,Clay,279,200267,,Zizou Bergs,R,185.0,26,209916,,Marko Topo,R,185.0,22,6-1 6-4,3,R32
2026-0308,Munich,20260513,A,Clay,280,127157,,Daniel Altmaier,R,188.0,27,105227,,Marin Cilic,R,198.0,37,6-2 6-3,3,R32
2026-0308,Munich,20260513,A,Clay,281,133430,,Denis Shapovalov,L,185.0,26,134868,8,Tallon Griekspoor,R,188.0,29,6-4 3-6 6-2,3,R32
2026-0308,Munich,20260513,A,Clay,282,209260,6,Luciano Darderi,R,183.0,23,111190,,Zhizhen Zhang,R,193.0,29,7-6(5) 3-6 6-1,3,R32
2026-0308,Munich,20260513,A,Clay,283,207925,4,Flavio Cobolli,R,183.0,23,209294,,Diego Duran,U,,,6-4 7-5,3,R32
2026-0308,Munich,20260513,A,Clay,284,144684,,Alex Molcan,L,178.0,28,122330,3,Alexander Bublik,R,196.0,28,6-4 6-2,3,R32
2026-0308,Munich,20260513,A,Clay,285,100644,1,Alexander Zverev,R,198.0,28,200175,,Miomir Kecmanovic,R,183.0,26,6-3 3-6 7-6(2),3,R32
2026-0308,Munich,20260513,A,Clay,286,211663,,Joao Fonseca,R,185.0,19,126239,7,Arthur Rinderknech,R,196.0,30,6-3 6-2,3,R16
2026-0308,Munich,20260513,A,Clay,287,200240,,Vit Kopriva,R,178.0,28,209260,6,Luciano Darderi,R,183.0,23,2-6 6-4 6-1,3,R16
2026-0308,Munich,20260513,A,Clay,288,207925,4,Flavio Cobolli,R,183.0,23,200267,,Zizou Bergs,R,185.0,26,6-2 6-3,3,R16
2026-0308,Munich,20260513,A,Clay,289,210097,2,Ben Shelton,L,193.0,23,210696,,Alexander Blockx,R,191.0,20,6-4 7-6(8),3,R16
2026-0308,Munich,20260513,A,Clay,290,133430,,Denis Shapovalov,L,185.0,26,206681,,Fabian Marozsan,R,193.0,26,7-6(4) 6-2,3,R16
2026-0308,Munich,20260513,A,Clay,291,144684,,Alex Molcan,L,178.0,28,127157,,Daniel Altmaier,R,188.0,27,6-4 7-6(10),3,R16
2026-0308,Munich,20260513,A,Clay,292,202103,5,Francisco Cerundolo,R,185.0,27,122298,,Botic Van De Zandschulp,R,191.0,30,6-3 6-0,3,R16
2026-0308,Munich,20260513,A,Clay,293,100644,1,Alexander Zverev,R,198.0,28,209113,,Gabriel Diallo,R,203.0,24,6-1 6-2,3,R16
2026-0308,Munich,20260513,A,Clay,294,144684,,Alex Molcan,L,178.0,28,133430,,Denis Shapovalov,L,185.0,26,6-4 6-4,3,QF
2026-0308,Munich,20260513,A,Clay,295,207925,4,Flavio Cobolli,R,183.0,23,200240,,Vit Kopriva,R,178.0,28,6-3 6-2,3,QF
2026-0308,Munich,20260513,A,Clay,296,210097,2,Ben Shelton,L,193.0,23,211663,,Joao Fonseca,R,185.0,19,6-3 3-6 6-3,3,QF
2026-0308,Munich,20260513,A,Clay,297,100644,1,Alexander Zverev,R,198.0,28,202103,5,Francisco Cerundolo,R,185.0,27,5-7 6-0 6-2,3,QF
2026-0308,Munich,20260513,A,Clay,298,210097,2,Ben Shelton,L,193.0,23,144684,,Alex Molcan,L,178.0,28,6-3 6-4,3,SF
2026-0308,Munich,20260513,A,Clay,299,207925,4,Flavio Cobolli,R,183.0,23,100644,1,Alexander Zverev,R,198.0,28,6-3 6-3,3,SF
2026-0308,Munich,20260513,A,Clay,300,210097,2,Ben Shelton,L,193.0,23,207925,4,Flavio Cobolli,R,183.0,23,6-2 7-5,3,F
