tourney_id,tourney_name,tourney_date,tourney_level,surface,match_num,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,score,best_of,round
2026-0416,Rome Masters,20260506,M,Clay,206,126846,,Aleksandar Vukic,R,188.0,29,200516,,Patrick Kypson,R,188.0,26,6-3 5-7 6-0,3,R128
2026-0416,Rome Masters,20260506,M,Clay,207,122298,,Botic Van De Zandschulp,R,191.0,30,124186,,Alexandre Muller,R,183.0,28,7-5 6-3,3,R128
2026-0416,Rome Masters,20260506,M,Clay,208,126214,,Alejandro Tabilo,L,188.0,28,105807,,Pablo Carreno Busta,R,188.0,34,6-2 6-1,3,R128
2026-0416,Rome Masters,20260506,M,Clay,209,208260,,Zachary Svajda,R,175.0,23,105477,,Marco Trungelliti,R,178.0,35,0-6 6-4 7-6(4),3,R128
2026-0416,Rome Masters,20260506,M,Clay,210,105526,,Jan Lennard Struff,R,193.0,35,207681,,Francisco Comesana,R,178.0,25,6-2 6-4,3,R128
2026-0416,Rome Masters,20260506,M,Clay,211,207686,,Alexander Shevchenko,R,185.0,25,200116,,Camilo Ugo Carabelli,R,185.0,26,6-3 4-6 7-6(5),3,R128
2026-0416,Rome Masters,20260506,M,Clay,212,209976,,Dino Prizmic,R,188.0,20,105916,,Marton Fucsovics,R,188.0,33,6-4 6-3,3,R128
2026-0416,Rome Masters,20260506,M,Clay,213,208659,,Giovanni Mpetshi Perricard,R,203.0,22,207985,,Jacob Fearnley,R,183.0,24,7-6(6) 4-6 6-2,3,R128
2026-0416,Rome Masters,20260506,M,Clay,214,200240,,Vit Kopriva,R,178.0,28,206681,,Fabian Marozsan,R,193.0,26,6-3 6-3,3,R128
2026-0416,Rome Masters,20260506,M,Clay,215,105870,,Yannick Hanfmann,R,193.0,34,128034,,Hubert Hurkacz,R,196.0,28,6(3)-7 7-6(2) 6-2,3,R128
2026-0416,Rome Masters,20260506,M,Clay,216,106000,,Damir Dzumhur,R,175.0,33,105173,,Adrian Mannarino,L,180.0,37,6-4 6-0,3,R128
2026-0416,Rome Masters,20260506,M,Clay,217,132686,,Nuno Borges,R,185.0,28,207411,,Jesper De Jong,R,180.0,25,6-3 6-0,3,R128
2026-0416,Rome Masters,20260506,M,Clay,218,202104,,Sebastian Baez,R,170.0,25,202385,,Jenson Brooksby,R,188.0,25,6-3 7-6(8),3,R128
2026-0416,Rome Masters,20260506,M,Clay,219,208286,,Matteo Arnaldi,R,185.0,24,144719,,Jaume Munar,R,183.0,28,6-3 3-6 6-3,3,R128
2026-0416,Rome Masters,20260506,M,Clay,220,127157,,Daniel Altmaier,R,188.0,27,111190,,Zhizhen Zhang,R,193.0,29,4-6 7-6(3) 6-4,3,R128
2026-0416,Rome Masters,20260506,M,Clay,221,202058,,Thiago Agustin Tirante,R,185.0,24,211533,,Gianluca Cadenasso,R,178.0,21,6(5)-7 6-4 6-0,3,R128
2026-0416,Rome Masters,20260506,M,Clay,222,200615,,Alexei Popyrin,R,196.0,26,126610,,Matteo Berrettini,R,196.0,29,6-2 6-3,3,R128
2026-0416,Rome Masters,20260506,M,Clay,223,126504,,Andrea Pellegrino,R,185.0,28,208134,,Luca Nardi,R,185.0,22,4-6 6-3 6-3,3,R128
2026-0416,Rome Masters,20260506,M,Clay,224,124116,,Sebastian Ofner,R,191.0,29,210506,,Alex Michelsen,R,193.0,21,6-3 6-3,3,R128
2026-0416,Rome Masters,20260506,M,Clay,225,208363,,Mariano Navone,R,178.0,24,133430,,Denis Shapovalov,L,185.0,26,6-4 6-2,3,R128
2026-0416,Rome Masters,20260506,M,Clay,226,209098,,Hamad Medjedovic,R,188.0,22,208316,,Valentin Royer,R,188.0,24,6-4 6-3,3,R128
2026-0416,Rome Masters,20260506,M,Clay,227,207830,,Tomas Machac,R,183.0,25,126774,,Stefanos Tsitsipas,R,193.0,27,6-4 7-6(4),3,R128
2026-0416,Rome Masters,20260506,M,Clay,228,208010,,Pablo Llamas Ruiz,R,188.0,23,210319,,Ethan Quinn,R,191.0,21,6-3 5-7 6-3,3,R128
