tourney_id,tourney_name,tourney_date,tourney_level,surface,match_num,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,score,best_of,round
2021-0499,Delray Beach,20210104,A,Hard,271,106329,,Thiago Monteiro,L,183.0,26.5,105064,,Thomaz Bellucci,L,188.0,33.0,6-3 7-5,3,R32
2021-0499,Delray Beach,20210104,A,Hard,272,200624,,Sebastian Korda,R,196.0,20.5,126952,,Soon Woo Kwon,R,180.0,23.0,6-4 6-4,3,R32
2021-0499,Delray Beach,20210104,A,Hard,273,126205,5.0,Tommy Paul,R,185.0,23.6,106227,,Ji Sung Nam,R,183.0,27.3,6-1 6-4,3,R32
2021-0499,Delray Beach,20210104,A,Hard,275,111815,,Cameron Norrie,L,188.0,25.3,111574,,Jc Aragone,R,178.0,25.5,6-2 6-1,3,R32
2021-0499,Delray Beach,20210104,A,Hard,276,106216,,Bjorn Fratangelo,R,183.0,27.4,110536,,Kevin King,L,191.0,29.8,6-2 6-2,3,R32
2021-0499,Delray Beach,20210104,A,Hard,277,126207,8.0,Frances Tiafoe,R,188.0,22.9,105385,,Donald Young,L,183.0,31.4,6-3 6-4,3,R32
2021-0499,Delray Beach,20210104,A,Hard,278,103333,,Ivo Karlovic,R,208.0,41.8,104665,7.0,Pablo Andujar,R,180.0,34.9,6-3 5-7 6-4,3,R32
2021-0499,Delray Beach,20210104,A,Hard,279,105933,,Roberto Quiroz,L,193.0,28.8,111511,,Noah Rubin,R,175.0,24.8,7-6(1) 6-3,3,R32
2021-0499,Delray Beach,20210104,A,Hard,280,123755,,Daniel Elahi Galan,R,191.0,24.5,105413,,Andrej Martin,R,183.0,31.2,6-4 6-4,3,R32
2021-0499,Delray Beach,20210104,A,Hard,282,105023,6.0,Sam Querrey,R,198.0,33.2,111456,,Mackenzie Mcdonald,R,178.0,25.7,6-3 6-4,3,R32
2021-0499,Delray Beach,20210104,A,Hard,283,126149,,Gianluca Mager,R,188.0,26.0,105992,,Ryan Harrison,R,185.0,28.6,3-6 6-1 6-4,3,R32
2021-0499,Delray Beach,20210104,A,Hard,284,106328,,Christian Harrison,R,180.0,26.6,144869,,Tomas Martin Etcheverry,R,196.0,21.4,6-4 6-2,3,R32
2021-0499,Delray Beach,20210104,A,Hard,286,104545,2.0,John Isner,R,208.0,35.6,106329,,Thiago Monteiro,L,183.0,26.5,6-4 7-6(4),3,R16
2021-0499,Delray Beach,20210104,A,Hard,287,200624,,Sebastian Korda,R,196.0,20.5,126205,5.0,Tommy Paul,R,185.0,23.6,4-6 6-3 6-2,3,R16
2021-0499,Delray Beach,20210104,A,Hard,288,111815,,Cameron Norrie,L,188.0,25.3,105173,3.0,Adrian Mannarino,L,180.0,32.5,6-2 7-5,3,R16
2021-0499,Delray Beach,20210104,A,Hard,289,126207,8.0,Frances Tiafoe,R,188.0,22.9,106216,,Bjorn Fratangelo,R,183.0,27.4,6-4 3-6 6-1,3,R16
2021-0499,Delray Beach,20210104,A,Hard,290,105933,,Roberto Quiroz,L,193.0,28.8,103333,,Ivo Karlovic,R,208.0,41.8,6-2 6-4,3,R16
2021-0499,Delray Beach,20210104,A,Hard,291,128034,4.0,Hubert Hurkacz,R,196.0,23.8,123755,,Daniel Elahi Galan,R,191.0,24.5,6-2 6-2,3,R16
2021-0499,Delray Beach,20210104,A,Hard,292,126149,,Gianluca Mager,R,188.0,26.0,105023,6.0,Sam Querrey,R,198.0,33.2,7-6(8) 6-1,3,R16
2021-0499,Delray Beach,20210104,A,Hard,293,106328,,Christian Harrison,R,180.0,26.6,106426,1.0,Cristian Garin,R,185.0,24.5,7-6(3) 6-2,3,R16
2021-0499,Delray Beach,20210104,A,Hard,294,200624,,Sebastian Korda,R,196.0,20.5,104545,2.0,John Isner,R,208.0,35.6,6-3 4-6 6-3,3,QF
2021-0499,Delray Beach,20210104,A,Hard,295,111815,,Cameron Norrie,L,188.0,25.3,126207,8.0,Frances Tiafoe,R,188.0,22.9,6-0 3-6 6-4,3,QF
2021-0499,Delray Beach,20210104,A,Hard,296,128034,4.0,Hubert Hurkacz,R,196.0,23.8,105933,,Roberto Quiroz,L,193.0,28.8,6-4 6-4,3,QF
2021-0499,Delray Beach,20210104,A,Hard,297,106328,,Christian Harrison,R,180.0,26.6,126149,,Gianluca Mager,R,188.0,26.0,7-6(2) 6-4,3,QF
2021-0499,Delray Beach,20210104,A,Hard,298,200624,,Sebastian Korda,R,196.0,20.5,111815,,Cameron Norrie,L,188.0,25.3,6-3 7-5,3,SF
2021-0499,Delray Beach,20210104,A,Hard,299,128034,4.0,Hubert Hurkacz,R,196.0,23.8,106328,,Christian Harrison,R,180.0,26.6,7-6(4) 6-4,3,SF
2021-0499,Delray Beach,20210104,A,Hard,300,128034,4.0,Hubert Hurkacz,R,196.0,23.8,200624,,Sebastian Korda,R,196.0,20.5,6-3 6-3,3,F
2021-9426,Antalya,20210105,A,Hard,270,105676,2.0,David Goffin,R,180.0,30.0,105732,,Pierre Hugues Herbert,R,188.0,29.8,3-6 7-5 6-0,3,R32
2021-9426,Antalya,20210105,A,Hard,271,200095,,Nicola Kuhn,R,185.0,20.7,104897,,Matthias Bachinger,R,188.0,33.7,3-6 6-3 4-1 RET,3,R32
2021-9426,Antalya,20210105,A,Hard,272,200325,,Emil Ruusuvuori,R,188.0,21.7,106210,,Jiri Vesely,L,198.0,27.4,6-3 7-6(4),3,R32
2021-9426,Antalya,20210105,A,Hard,273,105882,,Stefano Travaglia,R,185.0,29.0,200175,7.0,Miomir Kecmanovic,R,183.0,21.3,1-6 6-4 6-0,3,R32
2021-9426,Antalya,20210105,A,Hard,274,200282,4.0,Alex De Minaur,R,183.0,21.8,104291,,Malek Jaziri,R,185.0,36.9,6-2 6-1,3,R32
2021-9426,Antalya,20210105,A,Hard,275,202090,,Adrian Andreev,R,175.0,19.6,104947,,Marsel Ilhan,R,191.0,33.5,6-4 6-3,3,R32
2021-9426,Antalya,20210105,A,Hard,276,123795,,Altug Celikbilek,R,183.0,24.3,200390,,Kacper Zuk,R,183.0,21.9,7-6(7) 7-5,3,R32
2021-9426,Antalya,20210105,A,Hard,277,105932,6.0,Nikoloz Basilashvili,R,185.0,28.8,105063,,Andrea Arnaboldi,L,180.0,33.0,4-6 7-5 6-1,3,R32
2021-9426,Antalya,20210105,A,Hard,278,105526,5.0,Jan Lennard Struff,R,193.0,30.6,200303,,Pavel Kotov,R,191.0,22.1,6-4 6-3,3,R32
